Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
15,Heat,12,0.003358333,23/07/2014,204,NA,NA,NA,NA,13.6,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Heat,21,0.00442381,23/07/2014,204,NA,NA,NA,NA,12,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Heat,20,0.004245,23/07/2014,204,NA,NA,NA,NA,15,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Control,36,0.0041,15/07/2014,196,292,0.001542808,31/07/2014,212,14.6,37.6,4,0.0007,4,0.001225,15,0.000406667,27,0.004337037,263,0.002657034,10/08/2015,222,0.498442368,NA,0.085514019
16,Control,28,0.002560714,15/07/2014,196,327,0.002225076,31/07/2014,212,13.7,36,4,0.000675,13,0.000484615,16,0.00049375,25,0.003268,335,0.001255522,10/08/2015,222,0.280373832,0.496573209,0.07165109
16,Control,32,0.002975,15/07/2014,196,263,0.001790494,31/07/2014,212,14.4,38.3,4,0.000775,13,0.000323077,15,0.000466667,21,0.003114286,354,0.00130113,10/08/2015,222,0.286604361,NA,NA
16,Control,30,0.003063333,15/07/2014,196,287,0.001456794,14/08/2014,226,14.3,39.6,4,0.001025,16,0.00034375,10,0.00042,NA,NA,200,0.001423,13/08/2015,225,0.182242991,NA,NA
16,Control,24,0.003070833,15/07/2014,196,317,0.001807571,14/08/2014,226,14.8,35,4,0.00075,10,0.00035,12,0.000466667,NA,NA,281,0.002452669,13/08/2015,225,NA,NA,NA
16,Control,23,0.004326087,23/07/2014,204,223,0.001054709,14/08/2014,226,13.3,37.6,NA,NA,NA,NA,NA,NA,NA,NA,269,0.001171004,13/08/2015,225,NA,NA,NA
16,Control,23,0.00503913,23/07/2014,204,NA,NA,NA,NA,13.7,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Control,23,0.002469565,23/07/2014,204,NA,NA,NA,NA,13.5,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Control,28,0.004446429,23/07/2014,204,NA,NA,NA,NA,13.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
